column-city,column-state,column-country,count,lat,lon
Two Harbors,MN,USA,1,40.71427,-74.00597
Forestville,MD,USA,1,35.58486,-80.81007
Not sure,MN,USA,1,40.71427,-74.00597
Middle of the Caspian Sea directly east of Baku,,Unspecified,1,,
"Sonoita, Arizona",AZ,USA,1,40.71427,-74.00597
Honeyville,UT,USA,1,31.84688,-81.59595
Grand Canyon,AZ,USA,1,40.71427,-74.00597
Homosassa,FL,USA,1,40.71427,-74.00597
Mineral Wells,TX,USA,1,40.71427,-74.00597
No city on highway,WA,USA,1,40.71427,-74.00597
Clyde,NC,USA,1,40.71427,-74.00597
Killiney Bay,,Ireland,1,53.33306,-6.24889
Louisburg,NC,USA,1,40.71427,-74.00597
We were airborne heading East at 39000 feet,NE,USA,1,40.71427,-74.00597
Shasta lake,CA,USA,1,28.11085,-82.69482
,UT,USA,1,40.71427,-74.00597
Ocean City,NJ,USA,1,37.67748,-113.06189
Gatton,Queensland,Australia,1,-33.86785,151.20732
Bass Lake,IN,USA,1,40.71427,-74.00597
Ellsworth,ME,USA,1,40.71427,-74.00597
Unsure,ME,USA,1,40.71427,-74.00597
Camp Hill,PA,USA,1,35.9132,-79.05584
Estes Park,CO,USA,1,25.98454,-80.19894
Laanecoorie,Victoria,Australia,1,-33.86785,151.20732
Jenner,CA,USA,1,29.99409,-90.24174
,OR,USA,1,40.71427,-74.00597
Mt Pleasant,NC,USA,1,42.69743,-87.85577
,Islamabad Capital Territory,Pakistan,1,24.8608,67.0104
Cochise,AZ,USA,1,40.71427,-74.00597
,OR,Canada,1,43.70011,-79.4163
Abergavenny,Monmouthshire,United Kingdom,1,51.50853,-0.12574
Perachori,,Greece,1,37.98376,23.72784
West Lake Hills,TX,USA,1,34.19731,-118.64398
Alfaz del Pi,Alicante Province,Spain,1,38.58055,-0.10321
Pouch Cove,NL,Canada,1,43.70011,-79.4163
Taos Canyon,NM,USA,1,40.71427,-74.00597
Glenwood,NM,USA,1,33.96168,-118.35313
Hanksville,UT,USA,1,39.94035,-82.01319
Whiteland,IN,USA,1,40.71427,-74.00597
Dorotea,Västerbotten County,Sweden,1,59.32938,18.06871
Brooklet,GA,USA,1,42.33176,-71.12116
Powhatan Point,OH,USA,1,40.71427,-74.00597
Hopkinton,MA,USA,1,40.71427,-74.00597
Mineral Bluff,GA,USA,1,34.22843,-92.0032
Millen,GA,USA,1,40.71427,-74.00597
Hardwick,VT,USA,1,41.7001,-71.41617
Kongens Lyngby,Capital Region of Denmark,Denmark,1,55.67594,12.56553
Powell Junction,ID,USA,1,40.71427,-74.00597
Ouray,CO,USA,1,40.71427,-74.00597
Wetmore,MI,USA,1,40.71427,-74.00597
Limon,CO,USA,1,9.99074,-83.03596
Fredericksburg,VA,International Waters,1,38.30318,-77.46054
Shasta City,CA,USA,1,40.71427,-74.00597
Hubbardston,MI,USA,1,40.71427,-74.00597
Approx. 2.5 NM off coast of Sloop Point,NJ,USA,1,40.71427,-74.00597
,,Kyrgyzstan,1,42.87,74.59
Taos,NM,USA,1,40.71427,-74.00597
Pleasant Lake,IN,USA,1,28.11085,-82.69482
Bad Axe,MI,USA,1,40.71427,-74.00597
Hubert,NC,USA,1,40.71427,-74.00597
Long Point,ON,Canada,1,43.70011,-79.4163
Redfield,AR,USA,1,41.97621,-72.59176
Walpole,NH,USA,1,40.71427,-74.00597
Chapmanville,WV,USA,1,40.71427,-74.00597
Howell,MI,USA,1,37.30432,-77.2872
Mellieha,Mellieħa,Malta,1,35.95064,14.41561
bagdad,AZ,USA,1,33.34058,44.40088
Granbury,TX,USA,1,41.39482,-73.45401
Rehoboth,DE,USA,1,-23.317,17.09
Mount Ephraim,NJ,USA,1,40.71427,-74.00597
Ocean Shores,New South Wales,Australia,1,-33.86785,151.20732
Sedona,AZ,USA,1,40.71427,-74.00597
Barnegat,NJ,USA,1,40.71427,-74.00597
At sea on a cruise ship NW of Cuba enroute to Cozumel,,Cuba,1,23.13302,-82.38304
Williamson,WV,USA,1,39.68623,-74.99517
Upper Clements,NS,Canada,1,43.70011,-79.4163
Winters,CA,USA,1,40.71427,-74.00597
Sprague River,OR,USA,1,40.71427,-74.00597
Pleasant Valley,AK,USA,1,39.38984,-74.52404
