column-city,column-state,column-country,count,lat,lon
Chapmanville,WV,USA,1,,
Howell,MI,USA,1,,
Mellieha,Mellieħa,Malta,1,,
bagdad,AZ,USA,1,,
Granbury,TX,USA,1,,
Rehoboth,DE,USA,1,,
Mount Ephraim,NJ,USA,1,,
Ocean Shores,New South Wales,Australia,1,,
Sedona,AZ,USA,1,,
Barnegat,NJ,USA,1,,
At sea on a cruise ship NW of Cuba enroute to Cozumel,,Cuba,1,,
Williamson,WV,USA,1,,
Upper Clements,NS,Canada,1,,
Winters,CA,USA,1,,
Sprague River,OR,USA,1,,
Pleasant Valley,AK,USA,1,,
Rincón,Rincón,Puerto Rico,1,,
Plain City,UT,USA,1,,
Coeur d' Alene,ID,USA,1,,
Yangebup,Western Australia,Australia,1,,
Bensville,New South Wales,Australia,1,,
Thomaston,CT,USA,1,,
Outer Benson/ Texas Canyon/ Sibyl,AZ,USA,1,,
Winamac,IN,USA,1,,
Montara,CA,USA,1,,
Darrington,WA,USA,1,,
Pineville,KY,USA,1,,
Haubstadt,IN,USA,1,,
Cairo,KY,USA,1,,
Gallipolis,OH,USA,1,,
Near Starbuck,MN,USA,1,,
Dateland,AZ,USA,1,,
Conifer,CO,USA,1,,
Angora,MN,USA,1,,
Friant,CA,USA,1,,
Smith Mills,KY,USA,1,,
Duson,LA,USA,1,,
,ON,Canada,1,,
Howell Township,NJ,USA,1,,
,Hesse,Germany,1,,
,VA,USA,1,,
Yelm,WA,USA,1,,
Montesano,WA,USA,1,,
Navassa,NC,USA,1,,
Ocean Isle Beach,NC,USA,1,,
Bradford,ON,Canada,1,,
Jumping Branch,WV,USA,1,,
Cisco Grove,CA,USA,1,,
Newbury Park,CA,USA,1,,
Hiddenite,NC,USA,1,,
Cannon AFB,NM,USA,1,,
Pinetop,AZ,USA,1,,
Lords Valley,PA,USA,1,,
Absecon,NJ,USA,1,,
Big Coppitt,FL,USA,1,,
Heber City,UT,USA,1,,
Wheatfield Twp.,MI,USA,1,,
